"","kfmid","pxid"
"702",3,75464
"703",3,75465
"704",3,75466
"705",3,75467
"706",3,75468
"707",3,75469
"708",3,75470
"709",3,75471
"710",3,75472
"711",3,75473
"712",3,75474
"713",3,75475
"714",3,75476
"715",3,75477
"716",3,75478
"717",3,75526
"718",3,75527
"719",3,75528
"720",3,75529
"721",3,75530
"722",3,75531
"723",3,75532
"724",3,75533
"725",3,75534
"726",3,75535
"727",3,75536
"728",3,75537
"729",3,75538
"730",3,75539
"731",3,75540
"732",3,75541
"733",3,75542
"734",3,75543
"735",3,75544
"736",3,75545
"737",3,75546
"738",3,75547
"739",3,75548
"740",3,75549
"741",3,75550
"742",3,75597
"743",3,75598
"744",3,75599
"745",3,75600
"746",3,75601
"747",3,75602
"748",3,75603
"749",3,75604
"750",3,75605
"751",3,75606
"752",3,75607
"753",3,75608
"754",3,75609
"755",3,75610
"756",3,75611
"757",3,75612
"758",3,75613
"759",3,75614
"760",3,75615
"761",3,75616
"762",3,75617
"763",3,75618
"764",3,75619
"765",3,75620
"766",3,75621
"767",3,75622
"768",3,75667
"769",3,75668
"770",3,75669
"771",3,75670
"772",3,75671
"773",3,75672
"774",3,75673
"775",3,75674
"776",3,75675
"777",3,75676
"778",3,75677
"779",3,75678
"780",3,75679
"781",3,75680
"782",3,75681
"783",3,75682
"784",3,75683
"785",3,75684
"786",3,75685
"787",3,75686
"788",3,75687
"789",3,75688
"790",3,75689
"791",3,75690
"792",3,75691
"793",3,75692
"794",3,75693
"795",3,75736
"796",3,75737
"797",3,75738
"798",3,75739
"799",3,75740
"800",3,75741
"801",3,75742
"802",3,75743
"803",3,75744
"804",3,75745
"805",3,75746
"806",3,75747
"807",3,75748
"808",3,75749
"809",3,75750
"810",3,75751
"811",3,75752
"812",3,75753
"813",3,75754
"814",3,75755
"815",3,75756
"816",3,75757
"817",3,75797
"818",3,75798
"819",3,75799
"820",3,75800
"821",3,75801
"822",3,75802
"823",3,75803
"824",3,75804
"825",3,75805
"826",3,75806
"827",3,75807
"828",3,75808
"829",3,75809
"830",3,75810
"831",3,75811
"832",3,75812
"833",3,75813
"834",3,75814
"835",3,75815
"836",3,75816
"837",3,75817
"838",3,75818
"839",3,75819
"840",3,75820
"841",3,75860
"842",3,75861
"843",3,75862
"844",3,75863
"845",3,75864
"846",3,75865
"847",3,75866
"848",3,75867
"849",3,75868
"850",3,75869
"851",3,75870
"852",3,75871
"853",3,75872
"854",3,75873
"855",3,75874
"856",3,75875
"857",3,75876
"858",3,75877
"859",3,75878
"860",3,75879
"861",3,75880
"862",3,75881
"863",3,75882
"864",3,75883
"865",3,75925
"866",3,75926
"867",3,75927
"868",3,75928
"869",3,75929
"870",3,75930
"871",3,75931
"872",3,75932
"873",3,75933
"874",3,75934
"875",3,75935
"876",3,75936
"877",3,75937
"878",3,75938
"879",3,75939
"880",3,75940
"881",3,75941
"882",3,75942
"883",3,75983
"884",3,75984
"885",3,75985
"886",3,75986
"887",3,75987
"888",3,75988
"889",3,75989
"890",3,75990
"891",3,75991
"892",3,75992
"893",3,75993
"894",3,75994
"895",3,75995
"896",3,75996
"897",3,75997
"898",3,75998
"899",3,75999
"900",3,76034
"901",3,76035
"902",3,76036
"903",3,76037
"904",3,76038
"905",3,76039
"906",3,76040
"907",3,76041
"908",3,76042
"909",3,76043
"910",3,76044
"911",3,76045
"912",3,76046
"913",3,76047
"914",3,76078
"915",3,76079
"916",3,76080
"917",3,76081
"918",3,76082
"919",3,76083
"920",3,76084
"921",3,76085
"922",3,76086
"923",3,76087
"924",3,76088
"925",3,76089
"926",3,76090
"927",3,76122
"928",3,76123
"929",3,76124
"930",3,76125
"931",3,76126
"932",3,76127
"933",3,76128
"934",3,76129
"935",3,76162
"936",3,76163
"937",3,76164
"938",3,76165
"939",3,76166
"940",3,76167
"941",3,76196
"942",3,76197
"943",3,76198
"944",3,76199
"945",3,76200
"946",4,74435
"947",4,74436
"948",4,74437
"949",4,74438
"950",4,74508
"951",4,74509
"952",4,74510
"953",4,74511
"954",4,74512
"955",4,74513
"956",4,74514
"957",4,74515
"958",4,74516
"959",4,74517
"960",4,74518
"961",4,74587
"962",4,74588
"963",4,74589
"964",4,74590
"965",4,74591
"966",4,74592
"967",4,74593
"968",4,74594
"969",4,74595
"970",4,74596
"971",4,74597
"972",4,74598
"973",4,74599
"974",4,74600
"975",4,74664
"976",4,74665
"977",4,74666
"978",4,74667
"979",4,74668
"980",4,74669
"981",4,74670
"982",4,74671
"983",4,74672
"984",4,74673
"985",4,74674
"986",4,74675
"987",4,74676
"988",4,74677
"989",4,74678
"990",4,74679
"991",4,74680
"992",4,74681
"993",4,74682
"994",4,74744
"995",4,74745
"996",4,74746
"997",4,74747
"998",4,74748
"999",4,74749
"1000",4,74750
"1001",4,74751
"1002",4,74752
"1003",4,74753
"1004",4,74754
"1005",4,74755
"1006",4,74756
"1007",4,74757
"1008",4,74758
"1009",4,74759
"1010",4,74760
"1011",4,74761
"1012",4,74762
"1013",4,74763
"1014",4,74764
"1015",4,74825
"1016",4,74826
"1017",4,74827
"1018",4,74828
"1019",4,74829
"1020",4,74830
"1021",4,74831
"1022",4,74832
"1023",4,74833
"1024",4,74834
"1025",4,74835
"1026",4,74836
"1027",4,74837
"1028",4,74838
"1029",4,74839
"1030",4,74840
"1031",4,74841
"1032",4,74842
"1033",4,74843
"1034",4,74844
"1035",4,74845
"1036",4,74846
"1037",4,74909
"1038",4,74910
"1039",4,74911
"1040",4,74912
"1041",4,74913
"1042",4,74914
"1043",4,74915
"1044",4,74916
"1045",4,74917
"1046",4,74918
"1047",4,74919
"1048",4,74920
"1049",4,74921
"1050",4,74922
"1051",4,74923
"1052",4,74924
"1053",4,74925
"1054",4,74926
"1055",4,74927
"1056",4,74928
"1057",4,74929
"1058",4,74930
"1059",4,74992
"1060",4,74993
"1061",4,74994
"1062",4,74995
"1063",4,74996
"1064",4,74997
"1065",4,74998
"1066",4,74999
"1067",4,75000
"1068",4,75001
"1069",4,75002
"1070",4,75003
"1071",4,75004
"1072",4,75005
"1073",4,75006
"1074",4,75007
"1075",4,75008
"1076",4,75009
"1077",4,75010
"1078",4,75011
"1079",4,75012
"1080",4,75013
"1081",4,75070
"1082",4,75071
"1083",4,75072
"1084",4,75073
"1085",4,75074
"1086",4,75075
"1087",4,75076
"1088",4,75077
"1089",4,75078
"1090",4,75079
"1091",4,75080
"1092",4,75081
"1093",4,75082
"1094",4,75083
"1095",4,75084
"1096",4,75085
"1097",4,75143
"1098",4,75144
"1099",4,75145
"1100",4,75146
"1101",4,75147
"1102",4,75148
"1103",4,75149
"1104",4,75150
"1105",4,75151
"1106",4,75152
"1107",4,75153
"1108",4,75154
"1109",4,75155
"1110",4,75156
"1111",4,75157
"1112",4,75221
"1113",4,75222
"1114",4,75223
"1115",4,75224
"1116",4,75225
"1117",4,75226
"1118",4,75227
"1119",4,75228
"1120",4,75229
"1121",4,75230
"1122",4,75231
"1123",4,75232
"1124",4,75233
"1125",4,75234
"1126",4,75235
"1127",4,75236
"1128",4,75237
"1129",4,75297
"1130",4,75298
"1131",4,75299
"1132",4,75300
"1133",4,75301
"1134",4,75302
"1135",4,75303
"1136",4,75304
"1137",4,75305
"1138",4,75306
"1139",4,75307
"1140",4,75308
"1141",4,75309
"1142",4,75310
"1143",4,75311
"1144",4,75312
"1145",4,75313
"1146",4,75314
"1147",4,75315
"1148",4,75316
"1149",4,75377
"1150",4,75378
"1151",4,75379
"1152",4,75380
"1153",4,75381
"1154",4,75382
"1155",4,75383
"1156",4,75384
"1157",4,75385
"1158",4,75386
"1159",4,75387
"1160",4,75388
"1161",4,75389
"1162",4,75390
"1163",4,75391
"1164",4,75392
"1165",4,75393
"1166",4,75394
"1167",4,75395
"1168",4,75451
"1169",4,75452
"1170",4,75453
"1171",4,75454
"1172",4,75455
"1173",4,75456
"1174",4,75457
"1175",4,75458
"1176",4,75459
"1177",4,75460
"1178",4,75461
"1179",4,75462
"1180",4,75463
"1181",4,75464
"1182",4,75465
"1183",4,75466
"1184",4,75467
"1185",4,75468
"1186",4,75469
"1187",4,75470
"1188",4,75522
"1189",4,75523
"1190",4,75524
